Image Name                              PID        Session Name      Session Number      Memory Usage      
=====================================================================================================
AggregatorHost.exe                      6252       Services          0                   15,484 K          
ApplicationFrameHost.exe                7616       Console           1                   57,224 K          
BraveCrashHandler.exe                   8728       Services          0                   1,108 K           
BraveCrashHandler64.exe                 8844       Services          0                   1,048 K           
CnxtNotify.exe                          8880       Console           1                   46,196 K          
CxAudioSvc.exe                          4756       Services          0                   40,324 K          
CxUtilSvc.exe                           4800       Services          0                   9,800 K           
Discord.exe                             12776      Console           1                   424,348 K         
Discord.exe                             13604      Console           1                   35,328 K          
Discord.exe                             14440      Console           1                   57,120 K          
Discord.exe                             17776      Console           1                   83,152 K          
Discord.exe                             21068      Console           1                   125,600 K         
Discord.exe                             4540       Console           1                   139,968 K         
Discord.exe                             8344       Console           1                   163,636 K         
Flow.exe                                9024       Console           1                   102,760 K         
FlowTray.exe                            2460       Console           1                   118,292 K         
HPAudioAnalytics.exe                    14968      Services          0                   15,724 K          
HidMonitorSvc.exe                       4764       Services          0                   8,144 K           
HotKeyServiceUWP.exe                    3412       Services          0                   29,468 K          
IntelCpHDCPSvc.exe                      2016       Services          0                   9,752 K           
IntelCpHeciSvc.exe                      2156       Services          0                   9,380 K           
LanWlanWwanSwitchingServiceUWP.exe      5508       Services          0                   16,820 K          
LsaIso.exe                              1048       Services          0                   4,264 K           
Memory Compression                      3028       Services          0                   161,988 K         
MicTray64.exe                           7480       Console           1                   3,636 K           
MoNotificationUx.exe                    16748      Console           1                   13,840 K          
MpDefenderCoreService.exe               4908       Services          0                   26,548 K          
MsMpEng.exe                             4960       Services          0                   451,268 K         
NVDisplay.Container.exe                 1676       Console           1                   62,360 K          
NVDisplay.Container.exe                 2624       Services          0                   76,356 K          
NgcIso.exe                              4656       Services          0                   4,732 K           
NisSrv.exe                              6768       Services          0                   14,796 K          
OneApp.IGCC.WinService.exe              4816       Services          0                   63,616 K          
OneDrive.exe                            8480       Console           1                   140,832 K         
QMEmulatorService.exe                   6296       Services          0                   12,316 K          
Registry                                232        Services          0                   48,112 K          
Rider.Backend.exe                       15700      Console           1                   1,050,504 K       
RstMwService.exe                        4872       Services          0                   8,824 K           
RuntimeBroker.exe                       10172      Console           1                   25,940 K          
RuntimeBroker.exe                       11060      Console           1                   62,144 K          
RuntimeBroker.exe                       5652       Console           1                   39,040 K          
RuntimeBroker.exe                       8000       Console           1                   56,232 K          
SearchHost.exe                          7772       Console           1                   291,764 K         
SearchIndexer.exe                       8052       Services          0                   35,796 K          
Secure System                           188        Services          0                   108,636 K         
SecurityHealthService.exe               8440       Services          0                   19,396 K          
SecurityHealthSystray.exe               10772      Console           1                   12,588 K          
ShellExperienceHost.exe                 12204      Console           1                   94,188 K          
ShellHost.exe                           18384      Console           1                   51,648 K          
SmartAudio3.exe                         6764       Console           1                   116,772 K         
StartMenuExperienceHost.exe             7604       Console           1                   148,236 K         
System                                  4          Services          0                   180 K             
System Idle Process                     0          Services          0                   8 K               
SystemSettings.exe                      16980      Console           1                   3,352 K           
UserOOBEBroker.exe                      10384      Console           1                   11,164 K          
WUDFHost.exe                            1300       Services          0                   16,540 K          
WUDFHost.exe                            1544       Services          0                   23,652 K          
WhatsApp.exe                            10856      Console           1                   577,912 K         
WidgetService.exe                       21364      Console           1                   31,996 K          
Widgets.exe                             17440      Console           1                   67,672 K          
WmiPrvSE.exe                            3292       Services          0                   14,548 K          
audiodg.exe                             5800       Services          0                   33,080 K          
brave.exe                               11096      Console           1                   284,708 K         
brave.exe                               11440      Console           1                   47,692 K          
brave.exe                               11620      Console           1                   23,608 K          
brave.exe                               11820      Console           1                   8,872 K           
brave.exe                               12264      Console           1                   304,316 K         
brave.exe                               13608      Console           1                   53,360 K          
brave.exe                               15188      Console           1                   211,968 K         
brave.exe                               15952      Console           1                   31,828 K          
brave.exe                               18424      Console           1                   58,448 K          
brave.exe                               19144      Console           1                   55,920 K          
